cgpa,aptitude,communication,skills,internships,projects,shortlisted
7.7,63,63,4,0,3,0
7.06,63,68,1,1,6,0
7.85,43,64,7,0,1,0
8.72,65,73,5,4,1,1
6.97,80,87,6,0,4,1
6.97,50,61,2,3,4,0
8.78,85,85,3,1,2,0
7.97,77,61,4,1,5,1
6.73,58,60,4,0,1,0
7.74,67,82,6,1,6,1
6.74,93,83,4,2,2,1
6.73,81,83,3,1,1,1
7.44,70,54,2,0,2,0
5.29,66,65,2,3,2,0
5.48,71,82,6,4,3,1
6.64,62,72,4,1,4,0
6.19,38,58,6,1,3,0
7.51,100,77,5,1,4,1
6.29,72,62,3,0,3,0
5.79,75,95,3,0,0,0
8.67,69,92,6,1,6,1
6.97,58,79,6,2,5,0
7.27,67,89,4,0,1,0
5.78,46,72,2,1,3,0
6.66,100,81,1,3,4,1
7.31,51,91,4,0,2,0
6.05,54,75,1,0,3,0
7.58,63,68,4,2,3,1
6.6,89,49,4,0,2,0
6.91,70,70,3,0,1,0
6.6,51,82,3,1,4,0
9.05,88,84,7,1,2,1
7.19,80,78,5,3,2,0
6.14,78,64,7,1,4,1
8.02,80,46,4,1,4,0
5.98,100,65,5,1,2,0
7.41,100,68,3,4,5,1
5.24,59,67,5,0,4,0
5.87,94,80,3,0,2,0
7.4,75,97,1,4,3,0
7.94,77,73,7,4,4,1
7.37,44,69,5,0,2,0
7.08,67,68,7,0,3,0
6.9,57,73,4,1,4,0
5.72,82,61,4,0,3,0
6.48,86,73,4,2,4,0
6.74,38,77,6,0,3,0
8.26,69,74,5,0,2,1
7.54,86,77,7,1,3,1
5.44,67,77,1,4,3,1
7.52,80,48,6,1,4,0
6.81,75,80,4,1,4,1
6.52,75,63,3,4,3,1
7.81,65,57,5,1,6,1
8.23,51,57,5,1,1,0
8.13,53,77,3,1,2,0
6.36,80,69,3,0,2,0
6.89,70,50,4,1,2,0
7.53,67,78,4,1,4,1
8.18,63,53,4,0,0,0
6.72,65,73,3,0,2,0
7.01,85,75,1,0,2,0
6.09,64,83,8,1,4,1
6.0,49,95,7,0,5,0
8.01,81,54,5,0,4,1
8.56,66,71,8,3,2,1
7.13,70,68,5,1,3,0
8.2,94,77,2,0,0,1
7.56,69,74,3,2,2,1
6.55,74,67,7,0,5,0
7.56,52,66,5,2,3,0
8.74,66,57,6,2,1,0
7.16,79,84,7,2,3,1
8.76,46,77,4,2,2,0
4.58,73,83,2,0,3,0
8.02,71,67,3,2,3,1
7.29,70,63,2,0,2,0
6.9,85,57,3,0,6,0
7.29,75,76,4,3,3,1
5.21,92,58,3,1,5,0
6.98,55,96,3,4,4,0
7.56,72,55,4,0,4,1
8.68,71,75,4,1,3,1
6.68,53,92,5,0,0,0
6.39,84,79,4,1,4,0
6.7,100,74,5,0,3,0
8.12,69,59,7,0,1,0
7.53,77,54,3,0,3,0
6.67,71,82,3,2,4,0
7.71,59,91,7,0,6,1
7.3,42,66,5,2,3,0
8.17,59,57,6,0,3,1
6.5,49,40,3,0,5,1
6.87,95,59,6,1,2,0
6.81,68,70,7,4,1,1
5.74,64,92,5,0,2,0
7.5,83,80,3,0,5,1
7.46,53,75,7,2,2,1
7.21,58,66,6,0,2,0
6.97,71,64,6,2,3,0
5.78,85,90,2,0,5,1
6.78,77,74,6,1,6,1
6.86,73,44,3,0,3,0
6.4,71,63,3,1,6,1
7.04,76,60,5,2,2,0
7.6,73,64,4,2,2,0
9.09,54,79,5,1,6,1
7.37,70,70,5,3,3,1
7.46,53,71,3,0,2,0
7.13,71,89,5,0,3,0
5.28,62,62,7,1,4,0
7.17,100,96,3,1,5,0
7.26,69,63,5,0,5,0
9.66,48,73,4,1,3,1
7.01,67,68,5,1,5,0
7.5,77,73,4,2,3,0
7.17,95,77,4,2,4,0
6.03,61,77,1,1,4,1
8.34,46,62,8,0,3,0
7.95,82,57,5,1,1,0
7.99,49,100,5,2,3,0
6.29,63,65,4,0,4,0
8.6,66,81,5,1,2,0
